"Estimate","Standard Error"
"Intercept","0","(0)"
"Lag(diff(Consumption))","-0.01","(0.01)"
"Lag(diff(Expected Income))","-0.02","(0.03)"
"Lag(diff(Unexpected Income))","-0.47***","(0.01)"
"Lag(diff(Mean Parish Income))","0.05","(0.07)"
"",NA,NA
"R squared","0.509373369703642",NA
"# households","421",NA
"Time periods used","20",NA
"Total # observations","8420",NA
"DW-statistic","2.03",NA
"Baltagi-Wu LBI statistic","2.03",NA
"Barghava et al Durbin Watson Statistic","2.12",NA
