"Minimum","25th percentile","Median","75th percentile","Maximum","Mean","Std. Deviation"
"INCOME",1,50.0199920063936,90.0111097397076,180.005555384098,6380.00015673981,166.921833797842,291.70538229472
"CONSUMPTION TOTAL",1,50.0199920063936,98.0102030193714,200.004999875006,5374.00018608112,168.802094667277,222.28797062114
"DISCRETIONARY CONSUMPTION",1,4.23606797749979,20.0498756211209,52.0192236625154,1820.00054945038,53.3938251746621,106.245940432897
"FLEXIBLE CONSUMPTION",1,12.0827625302982,40.0249843945008,100.0099990002,1820.00054945038,89.5521209009709,144.287497752212
