"Estimate","Standard Error"
"Intercept","0","(0)"
"Lag(diff(Consumption))","0","(0.01)"
"Lag(diff(Expected Income))","0.12***","(0.02)"
"Lag(diff(Unexpected Income))","-0.45***","(0.01)"
"Lag(diff(Mean Parish Income))","-0.02","(0.05)"
"",NA,NA
"R squared","0.50837103552705",NA
"# households","421",NA
"Time periods used","20",NA
"Total # observations","8420",NA
"DW-statistic","2.06",NA
"Baltagi-Wu LBI statistic","2.06",NA
"Barghava et al Durbin Watson Statistic","2.13",NA
